time,weather_code (wmo code),temperature_2m_mean (°C),sunshine_duration (s),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²)
2025-03-11,63,25.9,37555.08,30.7,22.6,9.30,8.0,13.8,159,20.74
2025-03-12,63,26.1,33444.52,30.4,22.7,16.20,16.0,8.6,200,19.10
2025-03-13,51,26.6,40017.05,31.6,23.5,0.90,4.0,11.9,209,21.20
2025-03-14,53,26.2,35939.97,30.6,22.6,1.80,8.0,11.1,213,21.10
2025-03-15,65,24.9,18126.75,28.8,22.9,35.30,14.0,15.0,227,11.76
2025-03-16,65,25.5,19174.55,30.2,22.3,17.50,9.0,9.6,199,14.14
2025-03-17,65,24.9,24217.25,30.0,23.0,40.30,15.0,15.5,19,15.19
2025-03-18,63,25.3,28970.56,29.0,22.4,12.10,15.0,9.1,191,15.89
2025-03-19,55,26.4,35966.04,30.8,22.0,3.20,8.0,16.7,283,19.85
2025-03-20,53,26.3,40264.29,29.9,23.0,1.30,7.0,16.9,288,18.62
2025-03-21,63,26.1,42436.46,30.2,22.5,7.20,13.0,11.2,197,22.78
2025-03-22,63,25.4,23404.55,29.4,22.2,7.30,7.0,13.1,219,13.95
2025-03-23,63,25.8,33363.90,30.0,22.0,4.70,6.0,12.4,250,18.60
2025-03-24,63,25.4,39536.52,29.1,22.0,6.30,10.0,11.3,251,17.55
2025-03-25,61,26.0,32738.31,29.9,22.5,3.20,8.0,10.2,239,18.62
2025-03-26,63,25.7,30240.42,29.5,22.5,13.80,9.0,14.3,207,17.17
2025-03-27,63,26.0,38781.84,30.5,23.2,9.20,8.0,9.4,181,18.68
2025-03-28,63,25.7,20037.80,28.8,23.1,7.90,8.0,17.6,251,14.17
2025-03-29,51,26.4,38500.09,30.7,23.4,0.90,6.0,11.0,197,18.00
2025-03-30,53,26.7,41152.40,31.1,22.8,0.80,2.0,11.3,208,21.22
2025-03-31,61,26.1,42900.47,30.9,23.2,2.80,7.0,8.6,222,22.42
2025-04-01,63,25.0,30775.76,28.4,22.5,8.70,9.0,12.2,192,16.78
2025-04-02,65,25.3,29537.65,29.0,22.6,32.80,16.0,9.6,216,18.12
2025-04-03,63,25.2,31916.92,30.1,22.8,7.90,13.0,11.6,230,16.89
2025-04-04,65,25.2,25200.00,29.3,22.3,10.30,10.0,7.6,265,16.20
2025-04-05,61,25.2,31516.81,30.5,21.6,3.40,7.0,12.6,149,19.33
2025-04-06,61,25.0,28916.14,29.6,21.5,3.60,10.0,7.7,130,17.65
2025-04-07,51,25.7,42701.91,30.4,21.3,1.20,7.0,8.4,64,22.06
2025-04-08,63,25.5,42674.13,30.6,21.0,3.80,4.0,12.3,141,22.08
2025-04-09,63,25.8,35461.55,30.4,22.0,4.80,6.0,10.4,130,19.88
2025-04-10,65,25.9,28800.00,31.0,22.8,15.70,12.0,6.4,128,18.46
2025-04-11,63,25.5,25472.59,30.0,22.5,17.50,11.0,9.4,128,14.48
2025-04-12,63,25.5,34088.62,29.7,23.2,20.70,17.0,5.0,89,17.63
2025-04-13,65,25.0,23412.93,29.2,22.9,18.50,14.0,11.2,180,15.22
2025-04-14,63,26.0,27366.00,30.6,22.9,5.60,4.0,8.4,197,15.45
2025-04-15,65,25.1,21600.00,29.1,22.9,23.70,15.0,7.7,187,13.13
2025-04-16,53,25.9,38918.61,30.5,22.0,1.50,8.0,8.8,82,18.64
2025-04-17,51,25.7,27363.12,28.6,22.9,0.40,4.0,6.4,32,15.11
