"Date","Price","Open","High","Low","Vol.","Change %"
"05/14/2026","98.728","98.390","98.805","98.315","19.83K","0.31%"
"05/13/2026","98.423","98.235","98.585","98.150","18.43K","0.25%"
"05/12/2026","98.180","97.830","98.355","97.830","27.70K","0.36%"
"05/11/2026","97.824","97.850","98.040","97.720","15.17K","0.04%"
"05/08/2026","97.784","98.115","98.160","97.690","15.78K","-0.16%"
"05/07/2026","97.944","97.905","98.170","97.670","17.58K","0.07%"
"05/06/2026","97.875","98.200","98.210","97.470","27.81K","-0.44%"
"05/05/2026","98.310","98.350","98.445","98.180","16.33K","0.05%"
"05/04/2026","98.262","98.000","98.425","97.830","29.96K","0.26%"
"05/01/2026","98.005","98.020","98.105","97.570","22.39K","0.09%"
"04/30/2026","97.919","98.740","98.965","97.860","37.92K","-0.92%"
"04/29/2026","98.827","98.450","98.915","98.415","21.75K","0.36%"
"04/28/2026","98.476","98.280","98.710","98.260","16.81K","0.16%"
"04/27/2026","98.318","98.410","98.485","98.035","13.27K","-0.05%"
"04/24/2026","98.364","98.665","98.750","98.320","20.90K","-0.24%"
"04/23/2026","98.602","98.460","98.775","98.350","26.70K","0.19%"
"04/22/2026","98.412","98.205","98.475","98.025","19.87K","0.19%"
"04/21/2026","98.221","97.870","98.400","97.870","19.84K","0.32%"
"04/20/2026","97.907","98.230","98.345","97.815","20.93K","0.01%"
"04/17/2026","97.898","98.035","98.100","97.425","29.32K","-0.13%"
"04/16/2026","98.025","97.820","98.105","97.630","12.89K","0.18%"
"04/15/2026","97.851","97.875","98.085","97.795","13.60K","-0.06%"
"04/14/2026","97.908","98.150","98.200","97.750","20.30K","-0.26%"
"04/13/2026","98.163","98.920","98.990","98.150","24.53K","-0.28%"
"04/10/2026","98.439","98.655","98.795","98.130","20.68K","-0.15%"
"04/09/2026","98.589","98.855","98.960","98.405","22.81K","-0.34%"
"04/08/2026","98.925","98.750","98.975","98.295","40.96K","-0.76%"
"04/07/2026","99.682","99.845","99.995","99.400","36.87K","-0.12%"
"04/06/2026","99.804","99.995","100.135","99.565","22.77K","-0.05%"
"04/03/2026","99.855","99.825","100.200","99.795","1.34K","0.00%"
"04/02/2026","99.855","99.415","100.105","99.275","24.58K","0.40%"
"04/01/2026","99.458","99.570","99.705","99.095","35.51K","-0.30%"
"03/31/2026","99.759","100.430","100.500","99.615","36.37K","-0.59%"
"03/30/2026","100.353","100.090","100.450","99.890","19.26K","0.37%"
"03/27/2026","99.982","99.690","100.045","99.615","21.06K","0.27%"
"03/26/2026","99.708","99.460","99.840","99.385","24.25K","0.31%"
"03/25/2026","99.399","98.955","99.495","98.860","28.35K","0.16%"
"03/24/2026","99.242","98.955","99.440","98.845","29.60K","0.52%"
"03/23/2026","98.725","99.425","99.965","98.655","45.93K","-0.74%"
"03/20/2026","99.459","99.100","99.615","99.055","23.92K","0.40%"
"03/19/2026","99.058","100.020","100.125","98.765","33.26K","-0.82%"
"03/18/2026","99.873","99.320","100.100","99.220","20.60K","0.55%"
"03/17/2026","99.330","99.625","99.870","99.245","16.11K","-0.51%"
"03/16/2026","99.835","100.255","100.330","100.000","0.08K","-0.53%"
"03/13/2026","100.362","99.700","100.530","99.590","11.46K","0.61%"
"03/12/2026","99.754","99.430","99.765","99.260","22.40K","0.53%"
"03/11/2026","99.225","98.900","99.290","98.680","28.23K","0.68%"
"03/10/2026","98.559","98.600","98.715","98.220","6.26K","-0.38%"
"03/09/2026","98.931","99.040","99.435","98.485","11.58K","-0.05%"
"03/06/2026","98.979","99.015","99.575","98.750","28.80K","-0.33%"
"03/05/2026","99.309","98.685","99.395","98.655","34.81K","0.59%"
"03/04/2026","98.730","99.150","99.295","98.675","30.05K","-0.28%"
"03/03/2026","99.006","98.500","99.650","98.400","46.80K","0.68%"
"03/02/2026","98.337","97.820","98.725","97.715","41.30K","0.79%"
"02/27/2026","97.565","97.735","97.810","97.510","17.44K","-0.18%"
"02/26/2026","97.740","97.530","97.945","97.435","15.34K","0.12%"
"02/25/2026","97.625","97.780","97.935","97.550","21.22K","-0.15%"
"02/24/2026","97.770","97.685","97.925","97.670","11.08K","0.13%"
"02/23/2026","97.641","97.655","97.785","97.275","15.24K","-0.09%"
"02/20/2026","97.729","97.810","98.015","97.515","18.17K","-0.13%"
"02/19/2026","97.855","97.640","98.005","97.500","17.98K","0.24%"
"02/18/2026","97.621","97.080","97.655","97.060","14.37K","0.58%"
"02/17/2026","97.060","97.020","97.460","96.980","14.62K","0.25%"
"02/16/2026","96.819","96.775","97.020","96.770","3.63K","0.00%"
"02/13/2026","96.819","96.820","97.070","96.700","13.40K","-0.02%"
"02/12/2026","96.837","96.770","96.985","96.650","15.70K","0.12%"
"02/11/2026","96.721","96.690","97.170","96.370","21.12K","0.05%"
"02/10/2026","96.675","96.830","96.870","96.480","16.33K","-0.01%"
"02/09/2026","96.688","97.610","97.645","96.665","18.23K","-0.84%"
"02/06/2026","97.506","97.800","97.825","97.430","11.58K","-0.20%"
"02/05/2026","97.701","97.535","97.870","97.450","19.16K","0.22%"
"02/04/2026","97.489","97.305","97.605","97.185","11.89K","0.19%"
"02/03/2026","97.301","97.365","97.555","97.155","18.38K","-0.20%"
"02/02/2026","97.492","96.950","97.605","96.885","24.73K","0.65%"
"01/30/2026","96.859","96.295","97.030","96.180","41.77K","0.75%"
"01/29/2026","96.137","96.040","96.520","95.850","23.60K","-0.14%"
"01/28/2026","96.274","95.810","96.650","95.705","39.30K","0.23%"
