"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2025","97.35","96.93","97.60","96.84","","0.49%"
"09/17/2025","96.87","96.62","97.07","96.22","","0.25%"
"09/16/2025","96.63","97.34","97.39","96.56","","-0.69%"
"09/15/2025","97.30","97.63","97.70","97.27","","-0.25%"
"09/12/2025","97.55","97.52","97.86","97.49","","0.02%"
"09/11/2025","97.53","97.79","98.09","97.47","","-0.25%"
"09/10/2025","97.78","97.83","97.93","97.60","","-0.01%"
"09/09/2025","97.79","97.38","97.82","97.25","","0.34%"
"09/08/2025","97.45","97.79","97.94","97.42","","-0.32%"
"09/05/2025","97.77","98.24","98.26","97.43","","-0.59%"
"09/04/2025","98.35","98.15","98.44","98.08","","0.21%"
"09/03/2025","98.14","98.40","98.64","98.01","","-0.26%"
"09/02/2025","98.40","97.65","98.60","97.62","","0.64%"
"09/01/2025","97.77","97.83","97.87","97.54","","0.00%"
"08/29/2025","97.77","97.87","98.13","97.69","","-0.04%"
"08/28/2025","97.81","98.12","98.23","97.74","","-0.43%"
"08/27/2025","98.23","98.25","98.73","98.15","","0.01%"
"08/26/2025","98.22","98.47","98.56","98.08","","-0.21%"
"08/25/2025","98.43","97.72","98.54","97.71","","0.73%"
"08/22/2025","97.72","98.60","98.83","97.56","","-0.92%"
"08/21/2025","98.62","98.25","98.68","98.18","","0.41%"
"08/20/2025","98.22","98.29","98.44","98.08","","-0.05%"
"08/19/2025","98.26","98.15","98.32","97.94","","0.10%"
"08/18/2025","98.17","97.79","98.19","97.78","","0.32%"
"08/15/2025","97.85","98.18","98.21","97.72","","-0.41%"
"08/14/2025","98.25","97.75","98.32","97.63","","0.42%"
"08/13/2025","97.84","98.04","98.13","97.63","","-0.26%"
"08/12/2025","98.10","98.51","98.62","97.90","","-0.43%"
"08/11/2025","98.52","98.24","99.32","98.03","","0.35%"
"08/08/2025","98.18","97.98","98.35","97.96","","-0.22%"
"08/07/2025","98.40","98.19","98.47","97.94","","0.23%"
"08/06/2025","98.18","98.75","98.84","98.13","","-0.61%"
"08/05/2025","98.78","98.62","99.07","98.58","","0.00%"
"08/04/2025","98.78","98.65","98.98","98.59","","-0.36%"
"08/01/2025","99.14","100.01","100.26","98.61","","-0.83%"
"07/31/2025","99.97","99.80","100.10","99.52","","0.15%"
"07/30/2025","99.82","98.92","99.98","98.70","","0.94%"
"07/29/2025","98.89","98.64","99.14","98.58","","0.26%"
"07/28/2025","98.63","97.58","98.68","97.49","","1.01%"
"07/25/2025","97.64","97.45","97.90","97.43","","0.28%"
"07/24/2025","97.38","97.18","97.55","97.11","","0.17%"
"07/23/2025","97.21","97.47","97.61","97.19","","-0.18%"
